Año,Trimestre,IPC US,IPC AR,USDARS oficial,USDARS blue,PBI millones
2013,1,232773,298,"5,00","9,00",2.888.981
2013,2,233504,309,"5,00","9,00",3.387.811
2013,3,234149,331,"6,00","10,00",3.436.547
2013,4,233049,351,"6,00","11,00",3.679.896
2014,1,236293,402,"8,00","11,00",3.917.649
2014,2,238343,433,"8,00","13,00",4.702.630
2014,3,238031,461,"8,00","14,00",4.685.503
2014,4,234812,491,"9,00","13,00",5.010.564
2015,1,236119,518,"9,00","13,00",5.092.694
2015,2,238638,549,"9,00","15,00",5.951.479
2015,3,237945,584,"9,00","15,00",6.221.731
2015,4,236525,621,"10,00","15,00",6.552.140
2016,1,238132,697,"14,00","15,00",6.962.845
2016,2,241038,751,"14,00","15,00",8.401.125
2016,3,241428,791,"15,00","16,00",8.448.890
2016,4,241432,833,"15,00","16,00",8.942.135
2017,1,243801,880,"16,00","16,00",9.157.377
2017,2,244955,925,"16,00","18,00",10.595.155
2017,3,246819,963,"17,00","18,00",10.937.240
2017,4,246524,1014,"18,00","20,00",11.533.613
2018,1,249554,1083,"20,00","24,00",11.975.804
2018,2,251989,1169,"24,00","29,00",
